issue,related_issue,no_related_issue
matplotlib/matplotlib#5878,ipython/ipython#8850,pandas-dev/pandas#5510
matplotlib/matplotlib#5768,numpy/numpy#6127,astropy/astropy#726
matplotlib/matplotlib#5768,numpy/numpy#6127,ipython/ipython#10247
matplotlib/matplotlib#5768,numpy/numpy#6127,astropy/astropy#2790
matplotlib/matplotlib#5624,ipython/ipython#9659,ipython/ipython#9415
matplotlib/matplotlib#5624,ipython/ipython#9659,ipython/ipython#2253
matplotlib/matplotlib#5624,ipython/ipython#9659,pandas-dev/pandas#12123
matplotlib/matplotlib#5597,ipython/ipython#9098,numpy/numpy#5086
matplotlib/matplotlib#5597,ipython/ipython#9098,astropy/astropy#58
matplotlib/matplotlib#5597,ipython/ipython#9098,astropy/astropy#2540
matplotlib/matplotlib#5383,ipython/ipython#3381,ipython/ipython#6123
matplotlib/matplotlib#5383,ipython/ipython#3381,ipython/ipython#6110
matplotlib/matplotlib#5383,ipython/ipython#3381,ipython/ipython#4832
matplotlib/matplotlib#4803,astropy/astropy#3981,astropy/astropy#101
matplotlib/matplotlib#4803,astropy/astropy#3981,astropy/astropy#3209
matplotlib/matplotlib#4803,astropy/astropy#3981,astropy/astropy#1459
matplotlib/matplotlib#4552,scipy/scipy#4988,scipy/scipy#4950
matplotlib/matplotlib#4552,scipy/scipy#4988,numpy/numpy#5957
matplotlib/matplotlib#4552,scipy/scipy#4988,scipy/scipy#3573
matplotlib/matplotlib#4487,numpy/numpy#6288,astropy/astropy#2623
matplotlib/matplotlib#4487,numpy/numpy#6288,numpy/numpy#3537
matplotlib/matplotlib#4487,numpy/numpy#6288,numpy/numpy#4656
matplotlib/matplotlib#4487,numpy/numpy#6029,numpy/numpy#6740
matplotlib/matplotlib#4487,numpy/numpy#6029,astropy/astropy#3716
matplotlib/matplotlib#4487,numpy/numpy#6029,numpy/numpy#7836
matplotlib/matplotlib#4399,ipython/ipython#8388,ipython/ipython#9192
matplotlib/matplotlib#4399,ipython/ipython#8388,ipython/ipython#10086
matplotlib/matplotlib#4399,ipython/ipython#8388,ipython/ipython#9239
matplotlib/matplotlib#4359,ipython/ipython#8266,ipython/ipython#10795
matplotlib/matplotlib#4359,ipython/ipython#8266,ipython/ipython#8568
matplotlib/matplotlib#4359,ipython/ipython#8266,ipython/ipython#9791
matplotlib/matplotlib#4341,ipython/ipython#8133,pandas-dev/pandas#9184
matplotlib/matplotlib#4341,ipython/ipython#8133,ipython/ipython#3017
matplotlib/matplotlib#4341,ipython/ipython#8133,pandas-dev/pandas#9711
matplotlib/matplotlib#4328,scipy/scipy#4682,scipy/scipy#3275
matplotlib/matplotlib#4328,scipy/scipy#4682,numpy/numpy#6180
matplotlib/matplotlib#4328,scipy/scipy#4682,numpy/numpy#7662
matplotlib/matplotlib#4002,ipython/ipython#7351,pandas-dev/pandas#14599
matplotlib/matplotlib#4002,ipython/ipython#7351,pandas-dev/pandas#13104
matplotlib/matplotlib#4002,ipython/ipython#7351,pandas-dev/pandas#7233
matplotlib/matplotlib#3965,ipython/ipython#7351,pandas-dev/pandas#14599
matplotlib/matplotlib#3965,ipython/ipython#7351,pandas-dev/pandas#13104
matplotlib/matplotlib#3965,ipython/ipython#7351,pandas-dev/pandas#7233
matplotlib/matplotlib#3924,ipython/ipython#7228,ipython/ipython#5954
matplotlib/matplotlib#3924,ipython/ipython#7228,ipython/ipython#7352
matplotlib/matplotlib#3924,ipython/ipython#7228,ipython/ipython#5105
matplotlib/matplotlib#3688,ipython/ipython#6755,ipython/ipython#1878
matplotlib/matplotlib#3688,ipython/ipython#6755,ipython/ipython#1540
matplotlib/matplotlib#3688,ipython/ipython#6755,pandas-dev/pandas#15001
matplotlib/matplotlib#3598,numpy/numpy#5203,astropy/astropy#6567
matplotlib/matplotlib#3598,numpy/numpy#5203,astropy/astropy#5774
matplotlib/matplotlib#3598,numpy/numpy#5203,numpy/numpy#6612
matplotlib/matplotlib#3598,numpy/numpy#5184,astropy/astropy#297
matplotlib/matplotlib#3598,numpy/numpy#5184,astropy/astropy#1255
matplotlib/matplotlib#3598,numpy/numpy#5184,astropy/astropy#243
matplotlib/matplotlib#3551,ipython/ipython#6587,ipython/ipython#7881
matplotlib/matplotlib#3551,ipython/ipython#6587,ipython/ipython#9132
matplotlib/matplotlib#3551,ipython/ipython#6587,ipython/ipython#9071
matplotlib/matplotlib#3551,ipython/ipython#6057,pandas-dev/pandas#13131
matplotlib/matplotlib#3551,ipython/ipython#6057,ipython/ipython#878
matplotlib/matplotlib#3551,ipython/ipython#6057,ipython/ipython#6410
matplotlib/matplotlib#3367,ipython/ipython#6189,ipython/ipython#3
matplotlib/matplotlib#3367,ipython/ipython#6189,ipython/ipython#5957
matplotlib/matplotlib#3367,ipython/ipython#6189,ipython/ipython#2
matplotlib/matplotlib#3318,numpy/numpy#4912,scipy/scipy#3011
matplotlib/matplotlib#3318,numpy/numpy#4912,scipy/scipy#5574
matplotlib/matplotlib#3318,numpy/numpy#4912,scipy/scipy#6339
matplotlib/matplotlib#3186,numpy/numpy#4804,astropy/astropy#2675
matplotlib/matplotlib#3186,numpy/numpy#4804,astropy/astropy#1280
matplotlib/matplotlib#3186,numpy/numpy#4804,astropy/astropy#2296
matplotlib/matplotlib#3045,ipython/ipython#5795,ipython/ipython#1270
matplotlib/matplotlib#3045,ipython/ipython#5795,ipython/ipython#7549
matplotlib/matplotlib#3045,ipython/ipython#5795,ipython/ipython#8815
matplotlib/matplotlib#3044,ipython/ipython#5795,ipython/ipython#1270
matplotlib/matplotlib#3044,ipython/ipython#5795,ipython/ipython#7549
matplotlib/matplotlib#3044,ipython/ipython#5795,ipython/ipython#8815
matplotlib/matplotlib#3005,ipython/ipython#5593,ipython/ipython#1868
matplotlib/matplotlib#3005,ipython/ipython#5593,ipython/ipython#1053
matplotlib/matplotlib#3005,ipython/ipython#5593,ipython/ipython#4890
matplotlib/matplotlib#2775,numpy/numpy#4240,pandas-dev/pandas#17276
matplotlib/matplotlib#2775,numpy/numpy#4240,pandas-dev/pandas#13399
matplotlib/matplotlib#2775,numpy/numpy#4240,pandas-dev/pandas#3850
matplotlib/matplotlib#2705,numpy/numpy#4152,scikit-learn/scikit-learn#5094
matplotlib/matplotlib#2705,numpy/numpy#4152,numpy/numpy#8042
matplotlib/matplotlib#2705,numpy/numpy#4152,numpy/numpy#307
matplotlib/matplotlib#2646,ipython/ipython#4640,ipython/ipython#1659
matplotlib/matplotlib#2646,ipython/ipython#4640,ipython/ipython#2738
matplotlib/matplotlib#2646,ipython/ipython#4640,pandas-dev/pandas#7499
matplotlib/matplotlib#2630,ipython/ipython#2294,ipython/ipython#5458
matplotlib/matplotlib#2630,ipython/ipython#2294,ipython/ipython#3071
matplotlib/matplotlib#2630,ipython/ipython#2294,ipython/ipython#6335
matplotlib/matplotlib#2524,ipython/ipython#4195,ipython/ipython#6045
matplotlib/matplotlib#2524,ipython/ipython#4195,ipython/ipython#3568
matplotlib/matplotlib#2524,ipython/ipython#4195,ipython/ipython#4824
matplotlib/matplotlib#2275,ipython/ipython#3641,ipython/ipython#3669
matplotlib/matplotlib#2275,ipython/ipython#3641,ipython/ipython#1398
matplotlib/matplotlib#2275,ipython/ipython#3641,ipython/ipython#4722
matplotlib/matplotlib#2275,ipython/ipython#3647,ipython/ipython#2880
matplotlib/matplotlib#2275,ipython/ipython#3647,ipython/ipython#2796
matplotlib/matplotlib#2275,ipython/ipython#3647,ipython/ipython#3083
matplotlib/matplotlib#2054,ipython/ipython#4077,ipython/ipython#1357
matplotlib/matplotlib#2054,ipython/ipython#4077,ipython/ipython#2146
matplotlib/matplotlib#2054,ipython/ipython#4077,ipython/ipython#4130
matplotlib/matplotlib#2053,ipython/ipython#3352,astropy/astropy#3845
matplotlib/matplotlib#2053,ipython/ipython#3352,astropy/astropy#3164
matplotlib/matplotlib#2053,ipython/ipython#3352,astropy/astropy#1542
matplotlib/matplotlib#1867,ipython/ipython#3103,ipython/ipython#5306
matplotlib/matplotlib#1867,ipython/ipython#3103,ipython/ipython#5567
matplotlib/matplotlib#1867,ipython/ipython#3103,ipython/ipython#5092
matplotlib/matplotlib#1614,numpy/numpy#2843,scipy/scipy#2601
matplotlib/matplotlib#1614,numpy/numpy#2843,scipy/scipy#3212
matplotlib/matplotlib#1614,numpy/numpy#2843,scikit-learn/scikit-learn#4791
matplotlib/matplotlib#1530,ipython/ipython#1184,pandas-dev/pandas#17861
matplotlib/matplotlib#1530,ipython/ipython#1184,pandas-dev/pandas#8804
matplotlib/matplotlib#1530,ipython/ipython#1184,pandas-dev/pandas#14657
matplotlib/matplotlib#1530,ipython/ipython#2608,pandas-dev/pandas#13233
matplotlib/matplotlib#1530,ipython/ipython#2608,pandas-dev/pandas#17384
matplotlib/matplotlib#1530,ipython/ipython#2608,ipython/ipython#5749
matplotlib/matplotlib#1473,numpy/numpy#2702,scikit-learn/scikit-learn#9950
matplotlib/matplotlib#1473,numpy/numpy#2702,scikit-learn/scikit-learn#9815
matplotlib/matplotlib#1473,numpy/numpy#2702,scipy/scipy#455
matplotlib/matplotlib#1447,numpy/numpy#2702,scikit-learn/scikit-learn#9950
matplotlib/matplotlib#1447,numpy/numpy#2702,scikit-learn/scikit-learn#9815
matplotlib/matplotlib#1447,numpy/numpy#2702,scipy/scipy#455
matplotlib/matplotlib#1447,numpy/numpy#2700,scipy/scipy#2734
matplotlib/matplotlib#1447,numpy/numpy#2700,astropy/astropy#3774
matplotlib/matplotlib#1447,numpy/numpy#2700,astropy/astropy#4315
matplotlib/matplotlib#1426,ipython/ipython#2321,ipython/ipython#7983
matplotlib/matplotlib#1426,ipython/ipython#2321,ipython/ipython#10644
matplotlib/matplotlib#1426,ipython/ipython#2321,ipython/ipython#10737
matplotlib/matplotlib#1421,ipython/ipython#2508,pandas-dev/pandas#11144
matplotlib/matplotlib#1421,ipython/ipython#2508,pandas-dev/pandas#3578
matplotlib/matplotlib#1421,ipython/ipython#2508,pandas-dev/pandas#10657
matplotlib/matplotlib#1418,ipython/ipython#2508,pandas-dev/pandas#11144
matplotlib/matplotlib#1418,ipython/ipython#2508,pandas-dev/pandas#3578
matplotlib/matplotlib#1418,ipython/ipython#2508,pandas-dev/pandas#10657
matplotlib/matplotlib#1126,ipython/ipython#2294,ipython/ipython#5458
matplotlib/matplotlib#1126,ipython/ipython#2294,ipython/ipython#3071
matplotlib/matplotlib#1126,ipython/ipython#2294,ipython/ipython#6335
matplotlib/matplotlib#1081,numpy/numpy#2761,scipy/scipy#7181
matplotlib/matplotlib#1081,numpy/numpy#2761,numpy/numpy#4890
matplotlib/matplotlib#1081,numpy/numpy#2761,numpy/numpy#7264
matplotlib/matplotlib#835,ipython/ipython#1612,scikit-learn/scikit-learn#2532
matplotlib/matplotlib#835,ipython/ipython#1612,pandas-dev/pandas#13161
matplotlib/matplotlib#835,ipython/ipython#1612,pandas-dev/pandas#16247
matplotlib/matplotlib#665,ipython/ipython#1188,ipython/ipython#8828
matplotlib/matplotlib#665,ipython/ipython#1188,ipython/ipython#6559
matplotlib/matplotlib#665,ipython/ipython#1188,ipython/ipython#6366
matplotlib/matplotlib#551,ipython/ipython#815,ipython/ipython#2162
matplotlib/matplotlib#551,ipython/ipython#815,ipython/ipython#479
matplotlib/matplotlib#551,ipython/ipython#815,ipython/ipython#137
matplotlib/matplotlib#401,ipython/ipython#624,ipython/ipython#1411
matplotlib/matplotlib#401,ipython/ipython#624,ipython/ipython#4071
matplotlib/matplotlib#401,ipython/ipython#624,ipython/ipython#4173
