issue,related_issue,no_related_issue
ipython/ipython#2548,numpy/numpy#241,numpy/numpy#342
ipython/ipython#2548,numpy/numpy#241,scipy/scipy#97
ipython/ipython#1525,numpy/numpy#241,numpy/numpy#256
ipython/ipython#1525,numpy/numpy#241,numpy/numpy#342
ipython/ipython#1525,numpy/numpy#241,scipy/scipy#97
ipython/ipython#2588,numpy/numpy#2611,numpy/numpy#1359
ipython/ipython#2588,numpy/numpy#2611,numpy/numpy#1348
ipython/ipython#2588,numpy/numpy#2611,numpy/numpy#1230
ipython/ipython#3017,numpy/numpy#3128,numpy/numpy#6257
ipython/ipython#3017,numpy/numpy#3128,scipy/scipy#6129
ipython/ipython#3017,numpy/numpy#3128,scikit-learn/scikit-learn#714
ipython/ipython#3017,numpy/numpy#3136,numpy/numpy#6257
ipython/ipython#3017,numpy/numpy#3136,scipy/scipy#6129
ipython/ipython#3017,numpy/numpy#3136,scikit-learn/scikit-learn#714
ipython/ipython#2100,numpy/numpy#353,matplotlib/matplotlib#979
ipython/ipython#2100,numpy/numpy#353,matplotlib/matplotlib#969
ipython/ipython#2100,numpy/numpy#353,matplotlib/matplotlib#977
ipython/ipython#8478,numpy/numpy#5919,numpy/numpy#3396
ipython/ipython#8478,numpy/numpy#5919,numpy/numpy#7115
ipython/ipython#8478,numpy/numpy#5919,numpy/numpy#3391
ipython/ipython#4784,scipy/scipy#2764,scipy/scipy#7786
ipython/ipython#4784,scipy/scipy#2764,scipy/scipy#6604
ipython/ipython#4784,scipy/scipy#2764,scipy/scipy#4231
ipython/ipython#4784,scipy/scipy#2848,scipy/scipy#4524
ipython/ipython#4784,scipy/scipy#2848,scipy/scipy#7165
ipython/ipython#4784,scipy/scipy#2848,scipy/scipy#7292
